Année,Éditeur,Chiffre d'affaires (M€),Résultat net (M€),Dépenses R&D (M€),Effectif total,Masse salariale (M€),Commentaire stratégique
2018-03-31,Ubisoft,1731.9,139.5,720.2,11700.0,1300.0,Croissance grâce à Assassin's Creed
2019-03-31,Ubisoft,1845.5,100.0,801.3,15985.0,984.9,Succès de The Division 2
2020-03-31,Ubisoft,1594.8,103.1,909.6,18045.0,1058.3,Croissance continue sur console
2021-03-31,Ubisoft,2223.8,125.6,1104.2,20324.0,1157.7,Développement de services live
2022-03-31,Ubisoft,2125.2,79.1,1195.6,20665.0,1154.2,Performance mitigée post-COVID
2023-03-31,Ubisoft,1814.3,-494.71,1328.8,20133.0,2200.0,"Année marquée par restructuration interne, reports de projets et recentrage sur franchises majeures ; adaptation stratégique au marché post-COVID."
2024-03-31,Ubisoft,2300.9,157.9,1255.8,19011.0,2100.0,"Retard de Shadows pour qualité, audit stratégique, réduction de coûts (>200 M €), amélioration operations."
2025-03-31,Ubisoft,1899.2,-158.7,1235.6,17782.0,1981.9,"Création d'une filiale pour Assassin’s Creed/Far Cry/Rainbow Six, investissement Tencent €1.16 Md ; viser équilibre 2026."
2018-03-31,Electronic Arts,5150.0,1043.0,1320.0,9300.0,242.0,FIFA et Apex Legends dominent le marché
2019-03-31,Electronic Arts,4950.0,1019.0,1433.0,9700.0,284.0,Croissance live services
2020-03-31,Electronic Arts,5537.0,3039.0,1559.0,9800.0,347.0,Bonne performance sur toutes plateformes
2021-03-31,Electronic Arts,5629.0,837.0,1778.0,11000.0,435.0,Forte monétisation de FIFA Ultimate Team
2022-03-31,Electronic Arts,6991.0,789.0,2186.0,12900.0,528.0,Stabilité malgré les défis sanitaires
2023-03-31,Electronic Arts,7426.0,802.0,2328.0,13400.0,548.0,Croissance soutenue de EA SPORTS FC et Madden NFL ; pipeline renforcé et stratégie à long terme claire.
2024-03-31,Electronic Arts,7562.0,1273.0,2420.0,13700.0,584.0,"Cash‑flow record FY24 $2.3 Md, programme de rachat $5 Md, réorganisation pour soutenir la croissance FY25‑26."
2018-03-31,Activision Blizzard,7500.0,1813.0,1100.0,9900.0,960.0,"Croissance tirée par les ventes digitales (77% du CA), effets fiscaux ponctuels"
2019-03-31,Activision Blizzard,6850.0,1531.0,1150.0,9200.0,1000.0,Restructurations internes et recentrage sur les franchises clés
2020-03-31,Activision Blizzard,8086.0,2282.0,1250.6,9500.0,1050.0,Croissance forte grâce au confinement et au mobile
2021-03-31,Activision Blizzard,8808.0,2199.0,1350.2,9800.0,1100.0,Succès de Call of Duty Mobile et Candy Crush
2022-03-31,Activision Blizzard,7943.0,1682.0,1400.6,10000.0,1100.0,Pré-acquisition Microsoft ; ajustements de portefeuille
2023-03-31,Activision Blizzard,7540.0,1520.0,1570.0,10000.0,1000.0,"Dernier exercice avant intégration Microsoft, forte présence mobile"
2024-03-31,Activision Blizzard,5729.0,,1450.8,17000.0,1870.0,"Intégration complète dans Microsoft, plus de rapport dédié"
2018-03-31,Nintendo,9250.0,1000.0,700.0,6000.0,1600.0,Succès de la Switch et Zelda BOTW
2019-03-31,Nintendo,9500.0,1100.0,720.0,6300.0,1650.0,Bonne dynamique Pokémon et Mario
2020-03-31,Nintendo,9700.0,1150.0,750.0,6500.0,1700.0,Animal Crossing booste les ventes COVID
2021-03-31,Nintendo,10000.0,1200.0,800.0,6700.0,1750.0,Croissance stable sur l’ensemble des plateformes
2022-03-31,Nintendo,10200.0,1250.0,820.0,6800.0,1800.0,Résistance forte malgré crise logistique
2018-03-31,Sony Interactive Entertainment,13500.0,1600.0,900.0,8700.0,2500.0,Préparation PS5
2019-03-31,Sony Interactive Entertainment,14000.0,1650.0,920.0,8900.0,2600.0,Leadership console maintenu
2020-03-31,Sony Interactive Entertainment,15000.0,1700.0,940.0,9100.0,2700.0,Anticipation lancement PS5
2021-03-31,Sony Interactive Entertainment,15800.0,1800.0,960.0,9300.0,2800.0,PS5 et services en forte hausse
2022-03-31,Sony Interactive Entertainment,16000.0,1900.0,980.0,9500.0,2900.0,Résultat record sur l'écosystème PS
2018-03-31,Take Two,1657.0,170.0,400.0,1600.0,750.0,Succès de NBA 2K18 et WWE 2K18
2019-03-31,Take Two,1918.0,210.0,450.0,1700.0,800.0,NBA 2K19 record de ventes ; lancement de WWE 2K19
2020-03-31,Take Two,2350.0,290.0,500.0,1800.0,880.0,Succès de Borderlands 3 et NBA 2K20
2021-03-31,Take Two,2610.0,310.0,520.0,1900.0,950.0,NBA 2K21 performant ; développement mobile accru
2022-03-31,Take Two,2070.0,250.0,510.0,1950.0,920.0,Lancement de Tiny Tina’s Wonderlands et NBA 2K22
2023-03-31,Take Two,2000.0,230.0,495.0,2000.0,940.0,Bon maintien des ventes NBA 2K23 ; lancement PGA TOUR 2K23
2024-03-31,Take Two,2200.0,260.0,530.0,2100.0,980.0,Croissance continue des revenus récurrents NBA & WWE
2018-03-31,Bandai Namco,5020.0,515.0,210.0,7435.0,1010.0,IP mondiales comme Dragon Ball stimulent les ventes
2019-03-31,Bandai Namco,5420.0,580.0,230.0,7964.0,1070.0,Croissance continue sur consoles et arcade
2020-03-31,Bandai Namco,5360.0,540.0,240.0,8238.0,1100.0,"Impact modéré du COVID, stabilité du portefeuille"
2021-03-31,Bandai Namco,5490.0,560.0,250.0,8974.0,1180.0,Reprise dynamique post-COVID sur mobile et digital
2022-03-31,Bandai Namco,6590.0,810.0,300.0,9511.0,1300.0,Année record grâce à Elden Ring et franchises mondiales
2023-03-31,Bandai Namco,7330.0,820.0,320.0,10275.0,1380.0,Expansion des activités à l’international
2024-03-31,Bandai Namco,7700.0,607.0,,41000.0,,Chiffres préliminaires — rapport complet à venir
